country_code,country,gdp_per_capita,education_expenditure_pct_gdp,health_expenditure_per_capita
SWZ,Eswatini (Kingdom of),3695.64957179548,5.57274175738511,284.75802612
SXM,Sint Maarten (Dutch part),33523.6038330075,4.27420508508285,
SYC,Seychelles,15869.6738782504,3.65858904774836,707.34448242
SYR,Syrian Arab Republic,712.272278200037,,53.26486588
TCA,Turks and Caicos Islands,48307.3079245499,3.28261995315552,
TCD,Chad,862.60212817252,2.6016118897064,40.17007446
TGO,Togo,861.508010803054,3.77811083266775,55.79545593
THA,Thailand,6278.7855138276,2.61187022798634,369.97647095
TJK,Tajikistan,1325.75545290849,5.39829770599001,78.61326599
TKM,Turkmenistan,7551.03650143157,3.58004999160767,579.15454102
TLS,Timor-Leste,1579.71085276403,,174.91529846
TON,Tonga,4533.96790206106,5.31016278046634,382.79116821
TTO,Trinidad and Tobago,15712.230497272,2.67331004142761,1266.28820801
TUN,Tunisia,3986.54558325666,6.8049896073928,276.46380615
TUR,Türkiye,14273.5747654873,3.09572005271912,385.87997437
TUV,Tuvalu,4515.29701517492,13.7621912480198,1300.46679688
TZA,Tanzania (United Republic of),1070.58532714844,3.2382450375764,35.93323135
UGA,Uganda,933.094056370423,2.56105027176925,44.47286224
UKR,Ukraine,1874.66296386719,,
URY,Uruguay,18228.3558443761,4.5073299407959,1850.80737305
USA,United States,63886.1317069841,,12586.19628906
UZB,Uzbekistan,3576.71552716054,5.23477171022152,170.64073181
VCT,Saint Vincent and the Grenadines,8532.7381341339,7.07575034584772,437.94085693
VEN,Venezuela (Bolivarian Republic of),1379.97778822986,,208.66654968
VGB,British Virgin Islands,,2.48401999473572,
VIR,Virgin Islands (U.S.),36983.431060272,,
VNM,Viet Nam,3617.66311465012,2.88738689372749,188.22650146
VUT,Vanuatu,2740.27545530661,10.7033456499063,136.79508972
WSM,Samoa,4095.15868286688,6.15978780645853,259.95404053
XKX,Kosovo,4666.3913779077,,
YEM,Yemen,,,54.29036331
ZAF,South Africa,5786.86505344736,6.15599012374878,570.48028564
ZMB,Zambia,1298.8480495593,3.65884092023983,75.40128326
ZWE,Zimbabwe,1369.19761495571,,68.90727997
